gen,sid,seed,u_star,realized_improvement,realized_harm
mdm,010617,20490608,1.0,1.1124,0
mdm,010617,20490609,1.0,1.8363,0
mdm,010617,20490610,1.0,1.1912,0
mdm,010843,20493608,1.0,3.2198,0
mdm,010843,20493609,1.0,-0.7604,1
mdm,010843,20493610,1.0,0.7323,0
mdm,010938,20494608,0.0,0.0,0
mdm,010938,20494609,0.0,0.0,0
mdm,010938,20494610,0.0,0.0,0
mdm,010945,20495608,1.0,2.5376,0
mdm,010945,20495609,1.0,3.4325,0
mdm,010945,20495610,1.0,3.0121,0
mdm,010956,20496608,0.75,0.3598,0
mdm,010956,20496609,0.75,0.6973,0
mdm,010956,20496610,0.5,0.1503,0
mdm,011223,20499608,0.0,0.0,0
mdm,011223,20499609,0.0,0.0,0
mdm,011223,20499610,0.0,0.0,0
mdm,011284,20500608,0.75,-1.0329,1
mdm,011284,20500609,1.0,-2.1036,1
mdm,011284,20500610,1.0,0.2236,0
mdm,011340,20501608,0.75,-0.0667,0
mdm,011340,20501609,1.0,0.8297,0
mdm,011340,20501610,1.0,1.6555,0
mdm,011397,20502608,1.0,1.9124,0
mdm,011397,20502609,1.0,1.4528,0
mdm,011397,20502610,1.0,1.3798,0
mdm,011402,20503608,1.0,3.2736,0
mdm,011402,20503609,1.0,2.0638,0
mdm,011402,20503610,1.0,2.3251,0
mdm,011643,20504608,1.0,-0.5089,1
mdm,011643,20504609,0.75,-0.9362,1
mdm,011643,20504610,1.0,-0.8918,1
mdm,011797,20507608,1.0,-0.7362,1
mdm,011797,20507609,1.0,-0.8486,1
mdm,011797,20507610,1.0,-0.5505,1
mdm,011806,20509608,1.0,0.2187,0
mdm,011806,20509609,1.0,0.3411,0
mdm,011806,20509610,1.0,0.2429,0
mdm,011823,20510608,0.75,-0.0753,0
mdm,011823,20510609,0.75,0.2042,0
mdm,011823,20510610,0.75,0.9079,0
mdm,012219,20512608,1.0,-0.2071,1
mdm,012219,20512609,1.0,0.0994,0
mdm,012219,20512610,1.0,-0.0578,0
mdm,012355,20514608,0.0,0.0,0
mdm,012355,20514609,0.0,0.0,0
mdm,012355,20514610,0.0,0.0,0
mdm,012388,20515608,1.0,0.5263,0
mdm,012388,20515609,1.0,0.9886,0
mdm,012388,20515610,1.0,1.4647,0
mdm,012400,20516608,0.5,-0.3049,1
mdm,012400,20516609,0.5,-0.4316,1
mdm,012400,20516610,1.0,-1.7415,1
mdm,012595,20521608,1.0,6.0606,0
mdm,012595,20521609,1.0,6.4177,0
mdm,012595,20521610,1.0,6.3307,0
mdm,012691,20524608,1.0,1.6969,0
mdm,012691,20524609,1.0,0.1353,0
mdm,012691,20524610,1.0,3.3856,0
mdm,012903,20525608,0.0,0.0,0
mdm,012903,20525609,0.0,0.0,0
mdm,012903,20525610,1.0,0.0641,0
mdm,012956,20526608,0.75,-0.0653,0
mdm,012956,20526609,0.75,0.0313,0
mdm,012956,20526610,0.75,-0.1513,1
mdm,012985,20528608,1.0,3.8948,0
mdm,012985,20528609,1.0,2.0007,0
mdm,012985,20528610,1.0,6.9831,0
mdm,013000,20529608,1.0,2.0279,0
mdm,013000,20529609,1.0,2.2077,0
mdm,013000,20529610,0.75,1.6836,0
mdm,013112,20531608,0.0,0.0,0
mdm,013112,20531609,0.0,0.0,0
mdm,013112,20531610,0.0,0.0,0
mdm,013130,20532608,1.0,0.3401,0
mdm,013130,20532609,1.0,-0.2514,1
mdm,013130,20532610,1.0,0.7134,0
mdm,013174,20533608,1.0,1.8701,0
mdm,013174,20533609,1.0,1.8156,0
mdm,013174,20533610,1.0,1.2503,0
mdm,013190,20534608,1.0,-0.3801,1
mdm,013190,20534609,1.0,1.0072,0
mdm,013190,20534610,1.0,-0.3304,1
mdm,013253,20537608,1.0,0.1541,0
mdm,013253,20537609,1.0,-0.2818,1
mdm,013253,20537610,1.0,-0.3113,1
mdm,013558,20541608,1.0,1.2559,0
mdm,013558,20541609,1.0,1.2139,0
mdm,013558,20541610,1.0,0.0049,0
mdm,013573,20542608,1.0,2.1829,0
mdm,013573,20542609,1.0,1.9641,0
mdm,013573,20542610,1.0,1.7935,0
mdm,013608,20543608,0.0,0.0,0
mdm,013608,20543609,0.0,0.0,0
mdm,013608,20543610,0.0,0.0,0
mdm,013806,20545608,1.0,2.8868,0
mdm,013806,20545609,1.0,4.0263,0
mdm,013806,20545610,1.0,2.1921,0
mdm,013949,20546608,0.0,0.0,0
mdm,013949,20546609,0.0,0.0,0
mdm,013949,20546610,0.0,0.0,0
mdm,014002,20547608,1.0,-0.3792,1
mdm,014002,20547609,1.0,-0.3336,1
mdm,014002,20547610,1.0,-0.2697,1
mdm,014171,20549608,1.0,2.1031,0
mdm,014171,20549609,1.0,2.034,0
mdm,014171,20549610,1.0,1.4515,0
mdm,014192,20550608,1.0,-0.8815,1
mdm,014192,20550609,1.0,0.0746,0
mdm,014192,20550610,1.0,-1.0998,1
mdm,014395,20555608,1.0,-0.4881,1
mdm,014395,20555609,0.75,-0.354,1
mdm,014395,20555610,0.75,-0.1707,1
mdm,014416,20556608,1.0,-0.3331,1
mdm,014416,20556609,1.0,-0.4456,1
mdm,014416,20556610,1.0,-0.2347,1
mdm,014506,20557608,1.0,3.1939,0
mdm,014506,20557609,1.0,-0.2529,1
mdm,014506,20557610,1.0,0.8681,0
mdm,014565,20558608,1.0,0.6445,0
mdm,014565,20558609,1.0,1.8525,0
mdm,014565,20558610,1.0,1.7598,0
motiongpt,000067,20261608,0.25,-0.0088,0
motiongpt,000067,20261609,0.0,0.0,0
motiongpt,000067,20261610,0.5,-0.2087,1
motiongpt,000073,20262608,0.0,0.0,0
motiongpt,000073,20262609,0.0,0.0,0
motiongpt,000073,20262610,0.0,0.0,0
motiongpt,000160,20264608,0.0,0.0,0
motiongpt,000160,20264609,0.0,0.0,0
motiongpt,000160,20264610,0.25,0.0687,0
motiongpt,000246,20265608,0.25,-0.1186,1
motiongpt,000246,20265609,0.0,0.0,0
motiongpt,000246,20265610,0.25,-0.1127,1
motiongpt,000304,20268608,0.0,0.0,0
motiongpt,000304,20268609,0.0,0.0,0
motiongpt,000304,20268610,0.0,0.0,0
motiongpt,000374,20269608,0.0,0.0,0
motiongpt,000374,20269609,0.0,0.0,0
motiongpt,000374,20269610,0.0,0.0,0
motiongpt,000486,20271608,0.0,0.0,0
motiongpt,000486,20271609,0.0,0.0,0
motiongpt,000486,20271610,0.0,0.0,0
motiongpt,000629,20272608,0.0,0.0,0
motiongpt,000629,20272609,0.0,0.0,0
motiongpt,000629,20272610,0.0,0.0,0
motiongpt,000710,20276608,0.0,0.0,0
motiongpt,000710,20276609,0.5,0.0719,0
motiongpt,000710,20276610,0.5,0.0719,0
motiongpt,000904,20280608,0.0,0.0,0
motiongpt,000904,20280609,0.0,0.0,0
motiongpt,000904,20280610,0.0,0.0,0
motiongpt,001152,20281608,0.75,0.0053,0
motiongpt,001152,20281609,0.0,0.0,0
motiongpt,001152,20281610,1.0,-0.0332,0
motiongpt,001249,20284608,0.0,0.0,0
motiongpt,001249,20284609,0.0,0.0,0
motiongpt,001249,20284610,0.0,0.0,0
motiongpt,001270,20285608,0.0,0.0,0
motiongpt,001270,20285609,0.0,0.0,0
motiongpt,001270,20285610,0.0,0.0,0
motiongpt,001614,20288608,0.0,0.0,0
motiongpt,001614,20288609,0.0,0.0,0
motiongpt,001614,20288610,0.0,0.0,0
motiongpt,001617,20289608,0.0,0.0,0
motiongpt,001617,20289609,0.0,0.0,0
motiongpt,001617,20289610,0.5,-0.142,1
motiongpt,001759,20291608,0.0,0.0,0
motiongpt,001759,20291609,0.0,0.0,0
motiongpt,001759,20291610,0.75,0.2031,0
motiongpt,001801,20292608,0.0,0.0,0
motiongpt,001801,20292609,1.0,0.2182,0
motiongpt,001801,20292610,0.0,0.0,0
