gen,sid,seed,split,stepping_speed,body_speed_shortfall,foot_sliding,ground_contact_ratio,contact_streak,path_straightness,duration_sec,wants_to_travel,wants_to_stay,intent_unclear,is_mdm,is_motiongpt,is_momask,mm_u000,mm_u025,mm_u050,mm_u075,mm_u100,mm_u125,mm_u150,mm_u200
mdm,001249,20284608,holdout,0.004519,-0.003922,0.007688870431810251,0.9917,0.99167,0.9999,6.0,0,0,1,1,0,0,2.4195,2.899,3.3529,3.6596,3.8558,3.9952,4.1435,4.466
mdm,001249,20284609,holdout,0.00594,-0.002427,0.008101420671641065,1.0,1.0,0.9998,6.0,0,0,1,1,0,0,3.5293,3.6458,3.7701,3.816,3.82,3.8383,3.8591,3.9438
mdm,001249,20284610,holdout,0.003574,-0.004779,0.007567573137307576,1.0,1.0,0.9999,6.0,0,0,1,1,0,0,3.8456,4.0805,4.2806,4.3572,4.3283,4.2766,4.2267,4.123
mdm,001270,20285608,holdout,0.008758,7.1e-05,0.009668781009186365,0.9621,0.38485,0.9999,6.6,1,0,0,1,0,0,4.5092,4.5105,4.6956,4.8704,4.9179,4.9972,5.1606,5.6256
mdm,001270,20285609,holdout,0.019951,0.010808,0.0144725856871788,0.9356,0.20788,0.9999,6.6,1,0,0,1,0,0,5.1355,4.1444,3.3509,2.816,2.6414,2.6706,2.8285,3.7716
mdm,001270,20285610,holdout,0.019148,0.010137,0.009455061201773321,0.8106,0.16212,0.9998,6.6,1,0,0,1,0,0,2.594,2.3229,2.3324,2.4541,2.5956,2.7891,3.0499,3.7572
mdm,001347,20286608,calib,0.044459,0.034663,0.023109122071004812,0.8424,0.16848,1.0,4.6,0,0,1,1,0,0,2.9376,2.8171,2.8202,2.8263,2.8282,2.8672,2.9226,3.0602
mdm,001347,20286609,calib,0.042831,0.033121,0.021003433373065376,0.8696,0.17391,0.9998,4.6,0,0,1,1,0,0,6.603,6.2213,5.8541,5.4642,5.108,4.8992,4.833,5.1385
mdm,001347,20286610,calib,0.019963,0.010902,0.012315589050120083,0.837,0.33478,0.9999,4.6,0,0,1,1,0,0,3.0593,3.1319,3.347,3.5413,3.6282,3.6709,3.7177,3.9903
mdm,001349,20287608,calib,0.002942,-0.005358,0.005162749590655965,0.9821,0.39286,0.9999,9.8,0,0,1,1,0,0,4.5398,4.6025,4.7149,4.8272,4.8579,4.9266,5.0482,5.4406
mdm,001349,20287609,calib,0.002924,-0.005437,0.008104004158678213,1.0,1.0,1.0,9.8,0,0,1,1,0,0,3.2983,3.3284,3.4071,3.5062,3.5917,3.7162,3.9075,4.5056
mdm,001349,20287610,calib,0.001502,-0.006816,0.004852378861442577,1.0,1.0,0.9999,9.8,0,0,1,1,0,0,4.2172,4.2657,4.3587,4.4821,4.5932,4.7304,4.8857,5.2358
mdm,001614,20288608,holdout,0.035849,0.026566,0.009053430898706074,0.4088,0.07432,0.9998,7.4,1,0,0,1,0,0,5.9624,4.2372,3.1223,2.5635,2.0943,1.694,1.4251,1.3282
mdm,001614,20288609,holdout,0.010416,0.001222,0.005744728245075938,0.5912,0.19709,0.9999,7.4,1,0,0,1,0,0,6.8235,6.1061,5.2017,4.3925,3.7589,3.3111,2.9764,2.7156
mdm,001614,20288610,holdout,0.015472,0.006332,0.0071666977470201,0.7027,0.17568,0.9997,7.4,1,0,0,1,0,0,5.5333,3.7806,3.4849,3.2686,2.962,2.6426,2.3206,1.8078
mdm,001617,20289608,holdout,0.035583,0.025367,0.01760465107336243,0.7474,0.08306,0.9956,9.8,1,0,0,1,0,0,5.6467,5.3137,4.7837,4.2566,3.8574,3.7158,3.7558,4.0881
mdm,001617,20289609,holdout,0.049667,0.038497,0.023963828601381448,0.6735,0.05612,0.9974,9.8,1,0,0,1,0,0,5.1728,5.0613,4.903,4.5771,4.3112,4.2563,4.3076,4.5718
mdm,001617,20289610,holdout,0.059416,0.048317,0.019808143451876172,0.5561,0.04117,0.9951,9.8,1,0,0,1,0,0,5.4135,4.9686,4.3968,3.7922,3.1991,2.9485,2.9111,2.844
mdm,001723,20290608,calib,0.072739,0.062784,0.0184331471220863,0.3846,0.0699,0.9994,5.2,0,0,1,1,0,0,6.9259,6.8637,6.842,6.8843,6.8838,6.8207,6.718,6.4134
mdm,001723,20290609,calib,0.092147,0.080751,0.03402503043882439,0.5481,0.05481,0.999,5.2,0,0,1,1,0,0,7.0441,6.3597,5.9666,5.8308,5.853,5.9436,6.1403,6.3504
mdm,001723,20290610,calib,0.056941,0.045459,0.015027907168315462,0.4135,0.10337,0.9988,5.2,0,0,1,1,0,0,7.6257,7.7705,7.8713,7.8496,7.6839,7.5179,7.2854,6.9104
mdm,001759,20291608,holdout,0.012514,0.004144,0.010156336177213943,0.9896,0.65969,0.9986,4.8,0,0,1,1,0,0,4.7142,4.8051,4.786,4.716,4.6034,4.4243,4.1816,3.4562
mdm,001759,20291609,holdout,0.0229,0.014463,0.007791343311156189,0.5885,0.23542,0.9963,4.8,0,0,1,1,0,0,5.8944,5.9013,5.9459,5.9318,5.8322,5.5945,5.2731,4.9613
mdm,001759,20291610,holdout,0.002361,-0.005964,0.0079377654591397,1.0,1.0,0.9999,4.8,0,0,1,1,0,0,5.2012,5.1896,5.1524,5.087,4.9989,4.8831,4.7326,4.3862
mdm,001801,20292608,holdout,0.005748,-0.002588,0.008477143897672172,1.0,1.0,0.9996,9.8,0,0,1,1,0,0,7.8353,7.98,8.0887,8.1253,8.0829,8.0204,7.9431,7.7856
mdm,001801,20292609,holdout,0.008416,9.5e-05,0.009853613202053186,1.0,1.0,0.9996,9.8,0,0,1,1,0,0,7.6664,7.8103,7.9588,8.0311,8.0331,8.0174,7.983,7.8414
mdm,001801,20292610,holdout,0.005152,-0.003153,0.008187400284289702,1.0,1.0,0.9999,9.8,0,0,1,1,0,0,6.8916,7.0794,7.205,7.2463,7.2208,7.1787,7.1424,7.0251
mdm,001808,20293608,holdout,0.000383,-0.00795,0.0076181033430512985,1.0,1.0,1.0,5.2,0,1,0,1,0,0,2.8149,2.4993,2.4429,2.4429,2.2698,2.0821,1.9982,1.9809
mdm,001808,20293609,holdout,0.005077,-0.003374,0.008175338129089693,0.9712,0.6474,0.9999,5.2,0,1,0,1,0,0,3.5533,2.7894,2.4429,2.2201,2.1337,2.1935,2.3445,2.737
mdm,001808,20293610,holdout,0.008762,0.000705,0.011127045650876124,0.9663,0.48317,0.9998,5.2,0,1,0,1,0,0,4.0189,2.8534,3.378,3.9555,4.4211,4.7195,4.868,5.0101
