gen,sid,seed,foot_skate,path_gain_AFTER_ACTION,mm_orig,mm_corr,dmm,split
mdm,004068,20339610,0.002682,2.2745,9.9222,5.9689,-3.9533,calib
mdm,004117,20340608,0.011156,1.8385,3.4463,3.08,-0.3663,holdout
mdm,004117,20340609,0.018191,3.4581,4.2099,4.4034,0.1934,holdout
mdm,004117,20340610,0.00819,1.0999,3.1374,3.1893,0.0519,holdout
mdm,004129,20341608,0.02069,2.1946,3.611,2.8436,-0.7675,calib
mdm,004129,20341609,0.016156,1.871,3.5185,3.0372,-0.4813,calib
mdm,004129,20341610,0.016853,2.001,3.9848,2.6455,-1.3393,calib
mdm,004166,20342608,0.016088,3.8426,8.2395,6.0078,-2.2317,calib
mdm,004166,20342609,0.011302,1.8913,7.2648,6.2262,-1.0385,calib
mdm,004166,20342610,0.009972,3.6814,9.1261,5.6125,-3.5137,calib
mdm,004268,20343608,0.007936,0.0659,2.1701,2.3635,0.1934,calib
mdm,004268,20343609,0.007587,0.1358,1.204,1.7313,0.5274,calib
mdm,004268,20343610,0.007962,0.0894,2.5301,3.1501,0.62,calib
mdm,004270,20344608,0.008125,0.0993,4.5853,4.807,0.2217,calib
mdm,004270,20344609,0.008041,0.3398,1.6327,3.0756,1.4429,calib
mdm,004270,20344610,0.008365,0.2969,6.0852,6.6249,0.5397,calib
mdm,004293,20345608,0.02225,2.8158,6.418,5.1144,-1.3035,holdout
mdm,004293,20345609,0.020048,3.7253,8.6972,7.9866,-0.7106,holdout
mdm,004293,20345610,0.014048,3.875,6.7967,3.2001,-3.5966,holdout
mdm,004303,20346608,0.004153,0.1934,4.3774,4.3858,0.0084,calib
mdm,004303,20346609,0.002605,0.2745,4.4702,4.3889,-0.0813,calib
mdm,004303,20346610,0.004748,0.3617,3.95,3.9158,-0.0342,calib
mdm,004320,20347608,0.014434,3.4671,7.4995,3.6666,-3.833,holdout
mdm,004320,20347609,0.02333,4.1455,5.7976,3.8872,-1.9104,holdout
mdm,004320,20347610,0.014724,3.0172,7.8483,4.8424,-3.0059,holdout
mdm,004350,20348608,0.015928,3.1943,7.3533,6.9341,-0.4192,holdout
mdm,004350,20348609,0.015051,3.6707,7.4545,7.164,-0.2905,holdout
mdm,004350,20348610,0.029946,5.3943,7.9159,5.7674,-2.1485,holdout
mdm,004364,20349608,0.009313,1.3707,3.6363,3.4401,-0.1962,calib
mdm,004364,20349609,0.012509,1.8668,1.7202,1.3885,-0.3317,calib
mdm,004364,20349610,0.013518,1.6602,2.5932,3.4153,0.8221,calib
mdm,004438,20350608,0.004403,2.8813,8.1426,6.5955,-1.5471,holdout
mdm,004438,20350609,0.020009,4.1385,2.1045,2.1706,0.0661,holdout
mdm,004438,20350610,0.016701,4.8642,6.6176,4.4263,-2.1914,holdout
mdm,004504,20351608,0.017828,4.2599,2.0026,1.0336,-0.969,calib
mdm,004504,20351609,0.013465,3.9496,2.8237,1.6552,-1.1685,calib
mdm,004504,20351610,0.020641,4.1154,2.3501,2.0129,-0.3372,calib
mdm,004518,20352608,0.008409,0.6922,1.9918,3.6253,1.6335,holdout
mdm,004518,20352609,0.009758,1.0409,1.9193,4.195,2.2758,holdout
mdm,004518,20352610,0.009837,1.6924,4.8916,4.1999,-0.6918,holdout
mdm,004601,20353608,0.007222,4.2816,8.0832,7.4257,-0.6576,holdout
mdm,004601,20353609,0.005126,2.9773,8.8106,9.2484,0.4378,holdout
mdm,004601,20353610,0.006388,3.5544,8.2934,7.3699,-0.9235,holdout
mdm,004605,20354608,0.012184,2.1749,9.1373,7.3461,-1.7912,calib
mdm,004605,20354609,0.014666,2.2249,9.4684,8.6948,-0.7736,calib
mdm,004605,20354610,0.012275,1.6525,8.9306,7.3008,-1.6298,calib
mdm,004645,20355608,0.005994,2.5653,8.3108,5.7823,-2.5285,holdout
mdm,004645,20355609,0.008325,1.8651,6.857,5.286,-1.571,holdout
mdm,004645,20355610,0.015028,1.9008,9.1355,7.6115,-1.524,holdout
mdm,004679,20356608,0.008184,0.0818,2.4502,2.6811,0.2308,calib
mdm,004679,20356609,0.008041,0.0741,2.0905,3.0855,0.995,calib
mdm,004679,20356610,0.007795,0.1054,5.3422,4.8237,-0.5185,calib
mdm,004680,20357608,0.013785,2.4979,2.4858,3.0044,0.5185,calib
mdm,004680,20357609,0.014557,2.4877,1.8105,1.6272,-0.1834,calib
mdm,004680,20357610,0.012481,2.3084,3.4669,2.3913,-1.0756,calib
mdm,004702,20358608,0.017407,2.604,9.8484,8.8038,-1.0446,calib
mdm,004702,20358609,0.020736,4.0412,10.5538,7.6494,-2.9044,calib
mdm,004702,20358610,0.018209,3.007,9.1195,7.55,-1.5695,calib
mdm,004724,20359608,0.007942,0.2798,3.4858,3.3351,-0.1507,holdout
mdm,004724,20359609,0.008405,0.6261,3.1352,2.6881,-0.4471,holdout
mdm,004724,20359610,0.009262,0.7388,3.2438,3.5039,0.26,holdout
mdm,004733,20360608,0.00681,0.0551,2.8024,3.2441,0.4417,holdout
mdm,004733,20360609,0.006573,0.0906,4.3702,4.6027,0.2325,holdout
mdm,004733,20360610,0.006984,0.0987,3.9433,4.1746,0.2313,holdout
mdm,004823,20361608,0.00435,2.0312,9.694,10.3738,0.6797,calib
mdm,004823,20361609,0.002081,1.5012,9.0627,8.8414,-0.2213,calib
mdm,004823,20361610,0.004052,2.203,11.7026,11.6617,-0.0409,calib
mdm,004852,20362608,0.005226,4.1417,7.1937,3.343,-3.8507,holdout
mdm,004852,20362609,0.00306,3.8946,8.2581,3.1384,-5.1198,holdout
mdm,004852,20362610,0.004185,3.6143,8.5373,2.7724,-5.7649,holdout
mdm,004854,20363608,0.013346,2.0554,8.3476,7.7711,-0.5765,holdout
mdm,004854,20363609,0.017619,4.5022,8.3082,5.9808,-2.3274,holdout
mdm,004854,20363610,0.013933,3.9352,7.1464,5.1219,-2.0245,holdout
mdm,004864,20364608,0.014275,2.0542,2.5275,3.0151,0.4875,holdout
mdm,004864,20364609,0.011214,1.6868,2.7755,2.9363,0.1608,holdout
mdm,004864,20364610,0.010316,1.6931,2.3014,2.6006,0.2991,holdout
mdm,004870,20365608,0.008142,0.1075,2.3259,2.3118,-0.0141,holdout
mdm,004870,20365609,0.00786,0.5349,3.3596,3.323,-0.0367,holdout
mdm,004870,20365610,0.007595,0.1567,3.5883,3.2819,-0.3064,holdout
mdm,004904,20366608,0.01883,3.8607,5.3923,3.7006,-1.6917,calib
mdm,004904,20366609,0.014256,3.015,4.9792,3.6134,-1.3657,calib
mdm,004904,20366610,0.014718,2.5837,4.6509,3.2656,-1.3853,calib
mdm,004975,20367608,0.007803,0.1243,8.3875,8.4432,0.0557,holdout
mdm,004975,20367609,0.008958,0.8319,5.0708,5.3309,0.2601,holdout
mdm,004975,20367610,0.009691,0.8068,7.8393,6.8146,-1.0247,holdout
mdm,004983,20368608,0.008056,0.1148,2.8306,2.5284,-0.3022,calib
mdm,004983,20368609,0.006365,0.4861,3.2136,3.624,0.4104,calib
mdm,004983,20368610,0.007634,0.2601,2.536,2.3656,-0.1704,calib
mdm,005037,20369608,0.015689,1.8206,1.2088,2.2829,1.0741,calib
mdm,005037,20369609,0.013714,1.5697,1.9535,1.8952,-0.0583,calib
mdm,005037,20369610,0.012182,2.3056,6.9397,5.2851,-1.6546,calib
mdm,005048,20370608,0.006551,4.0649,6.0191,1.9411,-4.078,calib
mdm,005048,20370609,0.004064,3.19,4.8645,1.1877,-3.6768,calib
mdm,005048,20370610,0.015252,2.5343,2.3861,2.7217,0.3355,calib
mdm,005084,20371608,0.016906,3.2146,4.0257,3.0993,-0.9264,calib
mdm,005084,20371609,0.004537,0.4767,4.7211,4.6181,-0.103,calib
mdm,005084,20371610,0.013053,4.2248,3.2829,2.7165,-0.5664,calib
mdm,005087,20372608,0.012336,2.7441,9.9802,7.4882,-2.492,holdout
mdm,005087,20372609,0.016492,3.1975,6.1453,4.5735,-1.5718,holdout
mdm,005087,20372610,0.015544,2.5126,6.6326,6.2495,-0.3831,holdout
mdm,005163,20373608,0.012742,1.8915,7.3974,5.959,-1.4383,calib
mdm,005163,20373609,0.011872,6.0323,6.7967,4.7051,-2.0917,calib
mdm,005163,20373610,0.015077,1.9218,8.4708,7.5596,-0.9112,calib
mdm,005278,20374608,0.014097,2.3883,2.2526,2.6806,0.4281,holdout
mdm,005278,20374609,0.005017,2.0941,5.0538,3.6405,-1.4133,holdout
mdm,005278,20374610,0.00665,1.2202,4.3882,4.8768,0.4887,holdout
mdm,005413,20375608,0.008015,0.0639,2.1208,2.3655,0.2447,calib
mdm,005413,20375609,0.008021,0.0759,2.1749,2.6815,0.5066,calib
